image_id,image_path,visible_ingredients,model_name,annotation_batch,status,finish_reason,elapsed_seconds,reviewed,corrected_visible_ingredients,review_notes
0002_jpeg.rf.835f8e5dc0b7b520f3d4a848bb7998ec.jpg,data/raw/train/images/0002_jpeg.rf.835f8e5dc0b7b520f3d4a848bb7998ec.jpg,"carrot, red cabbage, milk",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,7.22,True,"carrots, red cabbage, milk, yogurt, cheese, mustard, hot sauce, soy sauce, water, juice, pickles, leafy greens, tomatoes, butter, jam","Gemma correctly identified carrots, red cabbage, and milk, but missed a large number of other visible items including various condiments, dairy products, and produce. | Missing: yogurt, cheese, mustard, hot sauce, soy sauce, water, juice, pickles, leafy greens, tomatoes, butter, jam, condiments"
0004_jpeg.rf.db67104c6e2411b38b575315e819e3de.jpg,data/raw/train/images/0004_jpeg.rf.db67104c6e2411b38b575315e819e3de.jpg,"strawberry, lemon, egg, oat milk",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,7.39,True,"strawberries, leafy greens, bell pepper, red onion, limes, lemon, yogurt, eggs, oat milk, sandwiches, condiments","Gemma identified the most prominent items (strawberries, eggs, oat milk) but missed a large amount of produce (greens, peppers, onions), yogurt, and sandwiches. | Missing: leafy greens, bell pepper, red onion, limes, yogurt, sandwiches, condiments"
0009_jpeg.rf.0c1625dc5db5a35d83270e76c111b780.jpg,data/raw/train/images/0009_jpeg.rf.0c1625dc5db5a35d83270e76c111b780.jpg,"egg, water",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,4.43,True,"mustard, soy sauce, mayonnaise, jam, pickles, yogurt, water, butter, deli meat, milk, eggs, juice, pasta salad, tortillas, sauce","The previous model only identified two items (egg, water) but missed a large number of visible condiments, dairy, and prepared foods. | Missing: mustard, soy sauce, mayonnaise, jam, pickles, yogurt, butter, deli meat, milk, juice, pasta salad, tortillas, sauce"
0013_jpeg.rf.a147b6b2c2efbe662e233e5ec88af8c5.jpg,data/raw/train/images/0013_jpeg.rf.a147b6b2c2efbe662e233e5ec88af8c5.jpg,"banana, apple, honey mustard",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,5.45,True,"banana, apple, honey mustard, food containers, frozen bag","Gemma correctly identified the loose produce and condiment but missed the multiple food storage containers on the shelf and the bag in the freezer compartment. | Missing: food containers, frozen bag"
0015_jpeg.rf.9aa3585b8d96dea99aaf41f5ecaacb7d.jpg,data/raw/train/images/0015_jpeg.rf.9aa3585b8d96dea99aaf41f5ecaacb7d.jpg,"egg, kefir",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,5.76,True,"eggs, butter, jam, kefir, yogurt, zucchini, carrots, lemon, eggplant, apples","Gemma correctly identified eggs and kefir but missed a large number of other clearly visible items including yogurt, butter, jam, vegetables (zucchini, carrots, eggplant), and fruit (lemon, apples). | Missing: butter, jam, yogurt, zucchini, carrots, lemon, eggplant, apples"
0016_jpeg.rf.e0da1dd3f9f4109a8d9d6c9e53ad980d.jpg,data/raw/train/images/0016_jpeg.rf.e0da1dd3f9f4109a8d9d6c9e53ad980d.jpg,"milk, egg",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,4.94,True,"milk, egg, yogurt, mayonnaise, mustard, ketchup, hot sauce, juice, lettuce, carrots, cream cheese, BBQ sauce, pickles, relish, salad dressing","Gemma correctly identified milk and eggs but missed almost all other visible items, including numerous condiments, dairy products, and produce. | Missing: yogurt, mayonnaise, mustard, ketchup, hot sauce, juice, lettuce, carrots, cream cheese, BBQ sauce, pickles, relish, salad dressing"
0017_jpeg.rf.279fb0f3a7c4fc71b32d890822e223b2.jpg,data/raw/train/images/0017_jpeg.rf.279fb0f3a7c4fc71b32d890822e223b2.jpg,"egg, grape, cucumber, lime",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,6.98,True,"eggs, grapes, cucumbers, limes, oranges, tomatoes, meat, lettuce, condiments, frozen vegetables, bread","Gemma correctly identified eggs, grapes, cucumbers, and limes, but missed a significant number of other visible items including oranges, tomatoes, raw meat, lettuce, condiments on the door, and frozen items. | Missing: oranges, tomatoes, meat, lettuce, condiments, frozen vegetables, bread"
0018_jpeg.rf.a40ad1a87817d16c4b77001b9674d0ea.jpg,data/raw/train/images/0018_jpeg.rf.a40ad1a87817d16c4b77001b9674d0ea.jpg,"egg, cabbage, cucumber, water",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,7.09,True,"eggs, cabbage, cucumbers, water, leafy greens, condiments, sauces, prepared food containers, mushrooms, corn","Gemma correctly identified the most prominent fresh items (eggs, cabbage, cucumber) and water but missed a large number of other visible items including leafy greens, various jars and bottles of condiments/sauces, stacked containers of prepared food, and produce in the bottom drawer. | Missing: leafy greens, condiments, sauces, prepared food containers, mushrooms, corn"
0027_jpeg.rf.27a7b52b03bcc33ca222ce1754d0b03e.jpg,data/raw/train/images/0027_jpeg.rf.27a7b52b03bcc33ca222ce1754d0b03e.jpg,"egg, orange juice, corn",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,7.29,True,"eggs, cheese, Dr Pepper, orange juice, soda cans, yogurt, dip, corn, asparagus, prepared meals, pasta sauce","Gemma correctly identified egg, orange juice, and corn, but missed many other visible items including cheese, soda, yogurt cups, asparagus, and packaged meals. | Missing: cheese, Dr Pepper, soda cans, yogurt, dip, asparagus, prepared meals, pasta sauce"
0028_jpeg.rf.189bbd71418fb2ec1a32dedf20f619c5.jpg,data/raw/train/images/0028_jpeg.rf.189bbd71418fb2ec1a32dedf20f619c5.jpg,"greek yogurt, egg, lemon, strawberry, tortilla",Gemma 4 31B-it,gemma4_batch_100_new,success,stop,7.86,True,"greek yogurt, egg, lemon, strawberry, shredded cheese, butter, peanut butter, almond milk, salad greens, meat, mushrooms","Gemma identified basic items but missed many visible foods like cheese, condiments, and produce. 'Tortilla' is likely a hallucination derived from the 'Mexican Style Cheese' box; no clear tortilla package is visible. | Missing: shredded cheese, butter, peanut butter, almond milk, salad greens, meat, mushrooms | Incorrect: tortilla"
